game_id,player_count,seat,character,score,is_winner,total_steps
85,2,1,kompor,0,0,54
86,2,0,hemat,5,1,56
86,2,1,perisai,0,0,56
87,2,0,pendingin,0,0.5,38
87,2,1,perisai,0,0.5,38
88,2,0,perisai,10,0,48
88,2,1,baja,38,1,48
89,2,0,pendingin,9,1,36
89,2,1,kompor,5,0,36
90,2,0,rakus,0,0,38
90,2,1,baja,10,1,38
91,2,0,kompor,0,0.5,57
91,2,1,hemat,0,0.5,57
92,2,0,rakus,0,0,39
92,2,1,pendingin,2,1,39
93,2,0,perisai,0,0,44
93,2,1,pendingin,10,1,44
94,2,0,baja,22,1,48
94,2,1,kompor,10,0,48
95,2,0,hemat,74,1,58
95,2,1,pendingin,0,0,58
96,2,0,kompor,5,0,44
96,2,1,pendingin,10,1,44
97,2,0,kompor,0,0,42
97,2,1,pendingin,14,1,42
98,2,0,kompor,5,1,47
98,2,1,perisai,0,0,47
99,2,0,baja,12,1,42
99,2,1,rakus,5,0,42
100,2,0,pendingin,0,0,46
100,2,1,hemat,5,1,46
101,2,0,hemat,5,1,43
101,2,1,pendingin,0,0,43
102,2,0,baja,8,0,49
102,2,1,pendingin,14,1,49
103,2,0,rakus,0,0.5,37
103,2,1,pendingin,0,0.5,37
104,2,0,hemat,5,1,54
104,2,1,pendingin,0,0,54
105,2,0,hemat,5,0,59
105,2,1,baja,15,1,59
106,2,0,kompor,0,0.5,38
106,2,1,rakus,0,0.5,38
107,2,0,kompor,5,1,49
107,2,1,pendingin,0,0,49
108,2,0,kompor,5,1,60
108,2,1,hemat,2,0,60
109,2,0,kompor,0,0.5,46
109,2,1,pendingin,0,0.5,46
110,2,0,pendingin,0,0,47
110,2,1,hemat,5,1,47
111,2,0,pendingin,0,0.5,41
111,2,1,hemat,0,0.5,41
112,2,0,baja,37,1,54
112,2,1,hemat,5,0,54
113,2,0,pendingin,10,1,33
113,2,1,rakus,0,0,33
114,2,0,rakus,0,0,51
114,2,1,baja,10,1,51
115,2,0,perisai,7,0,48
115,2,1,pendingin,82,1,48
116,2,0,pendingin,5,0,42
116,2,1,perisai,132,1,42
117,2,0,baja,6,1,43
117,2,1,rakus,0,0,43
118,2,0,rakus,5,1,40
118,2,1,pendingin,4,0,40
119,2,0,hemat,0,0,49
119,2,1,perisai,64,1,49
120,2,0,pendingin,0,0.5,43
120,2,1,kompor,0,0.5,43
121,2,0,pendingin,14,0,41
121,2,1,rakus,230,1,41
122,2,0,kompor,149,1,49
122,2,1,rakus,0,0,49
123,2,0,rakus,182,1,44
123,2,1,kompor,0,0,44
124,2,0,rakus,5,0,42
124,2,1,baja,22,1,42
125,2,0,rakus,87,1,43
125,2,1,perisai,10,0,43
126,2,0,kompor,5,0,34
126,2,1,pendingin,20,1,34
127,2,0,pendingin,0,0,37
127,2,1,perisai,5,1,37
128,2,0,kompor,0,0,45
128,2,1,hemat,5,1,45
129,2,0,pendingin,5,1,50
129,2,1,hemat,0,0,50
130,2,0,baja,11,1,53
130,2,1,hemat,0,0,53
131,2,0,perisai,62,1,48
131,2,1,kompor,10,0,48
132,2,0,pendingin,5,1,46
132,2,1,baja,0,0,46
133,2,0,hemat,157,1,61
133,2,1,baja,5,0,61
134,2,0,baja,20,1,53
134,2,1,hemat,10,0,53
135,2,0,perisai,8,0,45
135,2,1,baja,10,1,45
136,2,0,baja,22,1,48
136,2,1,perisai,5,0,48
137,2,0,pendingin,0,0,45
137,2,1,perisai,5,1,45
138,2,0,rakus,14,1,42
138,2,1,kompor,10,0,42
139,2,0,kompor,0,0.5,43
139,2,1,rakus,0,0.5,43
140,2,0,baja,34,1,48
140,2,1,pendingin,0,0,48
141,2,0,baja,2,1,57
141,2,1,hemat,0,0,57
142,2,0,kompor,5,0,41
142,2,1,pendingin,10,1,41
143,2,0,kompor,138,1,50
143,2,1,pendingin,0,0,50
144,2,0,kompor,15,1,41
144,2,1,rakus,0,0,41
145,2,0,kompor,5,0,41
145,2,1,perisai,8,1,41
146,2,0,kompor,0,0,51
146,2,1,perisai,5,1,51
147,2,0,kompor,10,0,43
147,2,1,pendingin,15,1,43
148,2,0,perisai,5,0,52
148,2,1,baja,15,1,52
149,2,0,rakus,0,0,42
149,2,1,kompor,87,1,42
150,2,0,hemat,0,0.5,42
150,2,1,pendingin,0,0.5,42
151,2,0,pendingin,5,0,45
151,2,1,kompor,10,1,45
152,2,0,perisai,9,1,49
152,2,1,hemat,8,0,49
153,2,0,hemat,8,0,50
153,2,1,rakus,116,1,50
154,2,0,baja,0,0,48
154,2,1,pendingin,10,1,48
155,2,0,baja,0,0.5,43
155,2,1,kompor,0,0.5,43
156,2,0,hemat,5,0,60
156,2,1,baja,10,1,60
157,2,0,kompor,12,1,55
157,2,1,baja,0,0,55
158,2,0,kompor,81,1,47
158,2,1,perisai,5,0,47
159,2,0,pendingin,10,0,46
159,2,1,baja,11,1,46
160,2,0,kompor,12,1,51
160,2,1,pendingin,8,0,51
161,2,0,hemat,0,0.5,54
161,2,1,perisai,0,0.5,54
162,2,0,hemat,5,0,50
162,2,1,baja,28,1,50
163,2,0,kompor,5,0,45
163,2,1,baja,22,1,45
164,2,0,perisai,10,1,44
164,2,1,hemat,5,0,44
165,2,0,baja,14,0,42
165,2,1,kompor,20,1,42
166,2,0,pendingin,0,0.5,50
166,2,1,perisai,0,0.5,50
167,2,0,rakus,304,1,48
167,2,1,baja,28,0,48
168,2,0,hemat,10,1,48
168,2,1,kompor,0,0,48
169,2,0,rakus,50,1,52
